,Gene
1431,TLR7
1432,MTA1
1433,BCL7B
1434,NCOR1
1435,XPNPEP3
1436,MAP2
1437,RAI2
1438,RXFP1
1439,TRPC4
1440,ICA1
1441,FMO3
1442,NR1H2
1443,FNTA
1444,FOXO4
1445,MDM4
1446,FHL3
1447,WWP1
1448,GNAQ
1449,PIK3R2
1450,GLRB
1451,CEBPA
1452,FYN
1453,PLEKHM2
1454,MAGEC2
1455,UCP2
1456,IKZF2
1457,POU2F1
1458,ECSIT
1459,OXSR1
1460,ABCG2
1461,EP300
1462,RSAD2
1463,KCNK1
1464,GRM3
1465,GMFB
1466,ANKS1A
1467,INSM1
1468,QRFPR
1469,NOS1
1470,PTHLH
1471,EBF1
1472,SMAP2
1473,PMFBP1
1474,SGCA
1475,SART1
1476,CDK17
1477,RLN3
1478,FMC1
1479,CNTN2
1480,EHBP1
1481,JAM3
1482,DLEC1
1483,SFRP5
1484,CHRNA4
1485,ADRB2
1486,CHAD
1487,EIF4E
1488,RBM14
1489,XIAP
1490,ABCC9
1491,SLC9A3R2
1492,AXIN2
1493,CDC27
1494,RBM20
1495,MSH3
1496,TRPV1
1497,YJEFN3
1498,MAPK10
1499,COL5A2
1500,DUSP5
1501,PRPH
1502,RNF39
1503,TAFA5
1504,CDK14
1505,SPATS2L
1506,FOXA2
1507,SLC3A1
1508,LARP4
1509,TBRG4
1510,CLEC4M
1511,PRDM1
1512,CTCFL
1513,ALPK1
1514,TRIB2
1515,LRP1
1516,RPA1
1517,CNKSR3
1518,EPHA10
1519,PCDH11X
1520,KHDRBS1
1521,ANKRD13D
1522,HDAC4
1523,RPRML
1524,SPATA18
1525,TAL1
1526,KLHL13
1527,SLC25A4
1528,NAA15
1529,TIGD5
1530,RECQL4
1531,DDX25
1532,HHEX
1533,AVPR1B
1534,ACE2
1535,SYNRG
1536,ABCD1
1537,SPA17
1538,KCNJ9
1539,AKAP8
1540,PTPDC1
1541,APH1B
1542,MMP12
1543,AHCY
1544,TNKS
1545,BAALC
1546,HGF
1547,MDM2
1548,PNPLA6
1549,LYAR
1550,FBXO16
1551,APOBEC3D
1552,CCL7
1553,ZFYVE1
1554,SRCIN1
1555,GBF1
1556,RWDD4
1557,AP3M2
1558,ROBO4
1559,MAF
1560,RPTOR
1561,CTCF
1562,FZD10
1563,YAP1
1564,FGFR1
1565,MAGEC1
1566,SLC10A1
1567,FOXE1
1568,GPR55
1569,LANCL2
1570,TCF21
1571,CNGB3
1572,TCERG1L
1573,CREG1
1574,RAP2A
1575,NLRP5
1576,GSS
1577,CD28
1578,FCGR2A
1579,HSD11B1
1580,MYH1
1581,GREB1L
1582,APTX
1583,IL23A
1584,SLC25A11
1585,TRRAP
1586,DLL3
1587,PKD1
1588,WFDC1
1589,TNFSF13
1590,PLAUR
1591,MUC5AC
1592,F2
1593,IVNS1ABP
1594,LCK
1595,CSNK2B
1596,ACACA
1597,NGB
1598,IL4
1599,CYP2J2
1600,TERF1
1601,TUBD1
1602,CHRM2
1603,TSPAN12
1604,STK32C
1605,TNFRSF18
1606,CD177
1607,HTR2A
1608,PCSK9
1609,EBF2
1610,SEMA4D
1611,KCNJ10
1612,ULBP2
1613,TKT
1614,RUVBL1
1615,DDR1
1616,R3HDM2
1617,PVR
1618,IL1R1
1619,TRIB1
1620,KPNB1
1621,LTB4R2
1622,PCSK1
1623,CXCL16
1624,EGF
1625,TRPC5
1626,SBNO2
1627,GADD45A
1628,FCGR1A
