,Gene
700,PON2
701,TPCN1
702,CFAP43
703,ZBTB4
704,NR1H2
705,SLC39A9
706,EMP1
707,BAALC
708,RIPK2
709,E2F3
710,ADORA2A
711,GREB1L
712,SCAPER
713,SERPINA3
714,MAP3K1
715,CCR4
716,NETO1
717,APELA
718,ITCH
719,WWP1
720,PPARA
721,NFKB2
722,GRID1
723,KCNQ2
724,NACC2
725,BCL11A
726,TMIGD2
727,MTHFD1
728,AP2A2
729,CAMSAP2
730,EIF4EBP2
731,EVI2B
732,CNST
733,ECE1
734,SAC3D1
735,GNAO1
736,KPNB1
737,ILK
738,HAVCR1
739,GREM1
740,BBC3
741,ENOSF1
742,RXRA
743,FPR1
744,MMP11
745,GLOD4
746,ABAT
747,TNIP1
748,RBMS1
749,LMO1
750,EMX2
751,RCC1
752,CTSK
753,CDKN1B
754,PTPRQ
755,OIT3
756,CTXN3
757,UNC119
758,P2RY13
759,TEX30
760,RPN1
761,RPAP1
762,DHRS2
763,NIPSNAP1
764,CFAP46
765,BTBD9
766,ABL2
767,CXCL10
768,EFHC2
769,PAPPA
770,VIPR2
771,RETN
772,TBK1
773,CDCA3
774,XPNPEP1
775,SYT16
776,ACTL6A
777,HDAC2
778,UBAP2L
779,FUT8
780,SND1
781,EHBP1
782,ENPP1
783,IL15
784,ALDH2
785,CTTNBP2NL
786,PAH
787,MTFR1L
788,KCNC4
789,EIF4EBP1
790,NR2C2
791,MYBL2
792,AEBP1
793,MRC2
794,HRH1
795,CPS1
796,CRK
797,ADRA1A
798,DUOXA1
799,EFR3B
800,LIFR
801,BCORL1
802,BCL2L11
803,F7
804,SLC25A11
805,TKT
806,TSSC4
807,FABP2
808,UBAP2
809,SCN9A
810,NCF4
811,CD2BP2
812,STAT1
813,EPCAM
814,SENP6
815,GABRP
816,GPR158
817,USP11
818,ZMIZ2
819,RUVBL2
820,NR3C1
821,RMND5A
822,PCDH18
823,ADGRB1
824,RNF38
825,ULK1
826,THUMPD3
827,YIPF5
828,DNAH7
829,ACTN1
830,SNX1
831,ASH2L
832,MIIP
833,DDR1
834,PPFIA3
835,SDK2
836,CCDC91
837,HDAC8
838,TAC1
839,ZMIZ1
840,ZSCAN20
841,PRKAA2
842,PLCG2
843,SMC1A
844,PTGIS
845,SPATA5
846,EIF2S1
847,HCRTR2
848,SCRN1
849,LRIF1
850,TACC2
851,DMD
852,MECOM
853,HAMP
854,MEIS1
855,TREM2
856,PPARGC1A
857,ELANE
858,SCN3A
859,SRF
860,IQGAP1
861,DKK3
862,PCDH17
863,KLHL4
864,JAZF1
865,CASP3
866,BFSP2
867,RBBP7
868,SOX8
869,THBD
870,KCNH3
871,ATXN2L
872,RBPMS
873,SPATS2L
874,ATG10
875,DHFR
876,ULK2
877,ADCY2
878,UPF1
879,UMPS
880,ITGA5
881,SOCS1
882,TICAM1
883,GPR37L1
884,DBN1
885,PGK1
886,ERCC4
887,GABRQ
888,KCNQ1
889,CNP
890,FRMD6
891,ACHE
892,HEXA
893,ALOX12
894,FEZF1
895,GLUD1
896,HNF4A
897,EGLN3
898,ILDR2
899,VCAM1
900,SIGLEC11
901,CD300E
902,EEF1G
903,NECTIN2
904,TCF21
905,BIRC5
906,CEP112
907,RBM10
908,TMA16
909,PANX1
910,NAIF1
911,CLOCK
912,TES
913,PTPRG
914,GDF15
915,POPDC3
916,NRIP1
917,CUL4B
918,HEXIM1
919,B4GAT1
920,IL4R
921,THRB
922,DDX19A
923,PIH1D1
924,KCTD11
925,TOP1MT
926,IRAK2
927,COQ8A
928,HSF4
929,PSD3
930,RSBN1
931,ANKRD13D
932,BMI1
933,TUBB6
934,GREM2
935,VSIR
936,AGMAT
937,DHX30
938,GIGYF1
939,GCH1
940,CHAF1A
941,NRROS
942,PEG10
943,MINDY2
944,FANCC
945,ASCC3
946,TNFRSF17
947,CAMK2G
948,FZD6
949,SIMC1
950,CD34
951,ATL1
952,MFSD5
953,GNAI1
954,ANK1
955,MLH1
956,GABRA2
957,TMEM97
958,ECSIT
959,MCM9
960,UGT1A1
961,DDX43
962,KCNV1
963,MAL
964,SF3B4
965,RBM38
966,ADAM17
967,AGTR1
968,SLC1A5
969,BCAM
970,FLII
971,IL17B
972,MELK
973,LGR5
974,CPVL
975,DDR2
976,EGF
977,P2RX4
978,SCGB1D2
979,CACNG4
980,CLEC4A
981,SEMA3C
982,ARMC7
983,EGLN1
984,ASXL1
985,AOX1
986,IFNAR1
987,FOXJ1
988,CYP27A1
989,EPHB6
990,KMT2A
991,RRS1
992,GHR
993,POLDIP2
994,CX3CR1
995,SCN8A
996,KDM5B
997,LAPTM4B
998,TRIM65
999,NPY1R
1000,CCNO
1001,PMM2
1002,STRN3
1003,MTPAP
1004,HK1
1005,CSNK2B
1006,SCG2
1007,LYN
1008,FGFR3
1009,RGS5
1010,TRPM6
1011,IL12RB2
1012,NEMP1
1013,ROBO4
1014,ADAMTS2
1015,FUT7
1016,CTLA4
1017,B3GAT1
1018,ZBP1
1019,LPL
1020,DMXL1
1021,CD1C
1022,PSME3
1023,MDM1
1024,LARP4B
1025,CACNA1C
1026,PARP3
1027,SLC12A6
1028,BMP4
1029,GABRR3
1030,ARF1
1031,DPF2
1032,CTSC
1033,DDIT4L
1034,CFTR
1035,GSS
1036,DDX50
1037,CDC25C
1038,SLC22A4
1039,MID2
1040,CD86
1041,IL18RAP
1042,RFC5
1043,NAV2
1044,TBCK
1045,BAZ2B
1046,PDHA1
1047,IGSF1
1048,CHAMP1
1049,GPRASP2
1050,MAP4K4
1051,BDKRB1
1052,NVL
1053,MYO6
1054,KCNA3
1055,CRYZL1
1056,NUAK2
1057,KRT20
1058,ADGRE1
1059,AKAP8
1060,WWP2
1061,CUL5
1062,P4HTM
1063,CXCR3
1064,TLR10
1065,TMEM192
1066,CDK6
1067,NFX1
1068,TPH1
1069,HMGN3
1070,NR1H3
1071,PCDH10
1072,POLR2G
1073,ICAM5
1074,CBFB
1075,FANCA
1076,SNAP25
1077,NEK8
1078,TSPAN3
1079,CRTAM
1080,CDC6
1081,NAT1
1082,AAMP
1083,ADAM10
1084,HDAC3
1085,TRMT1L
1086,CXCL16
1087,CUL3
1088,STIM2
1089,MALT1
1090,TSPAN12
1091,DACT2
1092,FGFBP2
1093,NOS1AP
1094,RPTOR
1095,ATF2
1096,ECHDC1
1097,PSIP1
1098,CDKL3
1099,ZMYND19
1100,FBXO33
1101,ADGRE2
1102,MINDY1
1103,RAF1
1104,POMGNT1
1105,PTDSS1
1106,TSHZ1
1107,LILRA2
1108,PRPF8
1109,PLEKHO1
1110,TSLP
1111,USP32
1112,GALE
1113,CAND1
1114,ATG16L1
1115,PCSK9
1116,TRAF3IP2
1117,F2
1118,TOPBP1
1119,TIRAP
1120,CD82
1121,BST1
1122,PLIN1
1123,KIF11
1124,E2F4
1125,PER3
1126,FAM110A
1127,C1QTNF1
1128,PNPLA1
1129,TBP
1130,ITGA2B
1131,ABCA7
1132,ARRB1
1133,GRPR
1134,ANGPTL6
1135,GNPAT
1136,CCDC137
1137,CBLB
1138,PYCARD
1139,ZFYVE1
1140,HEY1
1141,AP3B2
1142,IDH2
1143,SPAG8
1144,SINHCAF
1145,XPR1
1146,PRICKLE1
1147,PLEKHM2
1148,CORT
1149,CD7
1150,PENK
1151,NCLN
1152,CDH23
1153,ALCAM
1154,GPR135
1155,BMP5
1156,MAPK8IP1
1157,ABCC3
1158,TMEM109
1159,NEDD4
1160,CDKN1A
1161,SIRPG
1162,NCOA4
1163,PPARG
1164,NCOA1
1165,TNFSF9
1166,GBP5
1167,GABBR1
1168,SP3
1169,UPK3A
1170,AIRE
1171,HSF1
1172,CACUL1
1173,CCDC33
1174,PSRC1
1175,LANCL2
1176,IL3RA
1177,ALKBH5
1178,INSR
1179,SLFN5
1180,TRRAP
1181,CD33
1182,TGFB1
1183,FOXRED1
1184,GLI3
1185,PRSS16
1186,ICAM3
1187,RIPOR1
1188,PHF23
1189,SCARB1
1190,SF3A1
1191,ITK
1192,LOX
1193,IL23R
1194,TIMP4
1195,LILRA5
1196,TM4SF5
1197,TPPP3
1198,USP5
1199,ATP2B1
1200,CDV3
1201,ZEB2
1202,DNAJB2
1203,GCGR
1204,SPRYD7
1205,SH3RF2
1206,NDRG1
1207,SNRPD1
1208,BTN3A1
1209,LONP1
1210,LTBP1
1211,CD101
1212,CPNE9
1213,POLR2A
1214,GNAQ
1215,NDUFAB1
1216,XCR1
1217,BCL2L12
1218,GBE1
1219,PLCE1
1220,HSPB3
1221,WNT5A
1222,ZUP1
1223,RBM23
1224,LIG4
1225,OSCP1
1226,RRP15
1227,VSTM2L
1228,KANK2
1229,UBTF
1230,TMX1
1231,PRPF31
1232,SRCAP
1233,LGR6
1234,ALPL
1235,TNFSF4
1236,CLCN3
1237,TRIM55
1238,MAP3K7CL
1239,BLVRA
1240,SHROOM1
1241,TH
1242,LRG1
1243,SPAAR
1244,FURIN
1245,SREBF2
1246,TIAM1
1247,ALG11
1248,NFKB1
1249,HOXB6
1250,CBLN3
1251,CCNA2
1252,IL10RB
1253,NBL1
1254,MAP4
1255,KLF17
1256,GATA2
1257,ITGA6
1258,BACE2
1259,TEC
1260,STAT3
1261,DDB1
1262,LDLR
1263,FAM76B
1264,PCNA
1265,PSENEN
1266,MOV10
1267,DSG2
1268,GPATCH11
1269,TLR7
1270,IRF1
1271,PRPS2
1272,PER2
1273,TRAF3IP3
1274,SPECC1
1275,ZFP57
1276,PHETA1
1277,DERL3
1278,ACLY
1279,CLCN5
1280,CYBA
1281,ABCC2
1282,EPDR1
1283,ASCC2
1284,GCN1
1285,HSPD1
1286,TMTC3
1287,SERPINC1
1288,STK40
1289,TBC1D30
1290,ATPAF1
1291,POLD1
1292,YWHAQ
1293,WDR26
1294,AFF2
1295,TRPM4
1296,LDB3
1297,SLC4A1
1298,SH2D2A
1299,GSTM3
1300,ART4
1301,FDFT1
1302,AIFM1
1303,NEIL3
1304,BHMT
1305,GART
1306,USP7
1307,LRP5
1308,CDSN
1309,GPR3
1310,RLF
1311,YTHDF1
1312,NOX4
1313,GZMA
1314,LMO2
1315,LZIC
1316,RNF31
1317,RECQL4
1318,ERCC6
1319,PPM1H
1320,RUBCN
1321,DDX20
1322,SACS
1323,GNB1L
1324,ZC2HC1A
1325,PIN1
1326,UBASH3A
1327,DST
1328,KPNA3
1329,PDGFA
1330,DRC3
1331,SPATA18
1332,AKT3
1333,SH3BGRL2
1334,PTGDR
1335,CASP6
1336,KATNA1
1337,CPZ
1338,KCNJ8
1339,FOXC1
1340,SP110
1341,RCOR1
1342,CPXM2
1343,CXCL9
1344,DICER1
1345,MET
1346,SNX10
1347,SDHB
1348,MIEN1
1349,CCDC7
1350,FOXJ2
1351,BMPER
1352,MYO5A
1353,EIF4E
1354,GDF11
1355,FAM9B
1356,MAP3K5
1357,BMP2
1358,MASP2
1359,TOX2
1360,AMACR
1361,LAT
1362,GDNF
1363,CCDC170
1364,FECH
1365,CEP19
1366,THEMIS2
1367,DYRK1A
1368,APC
1369,CD274
1370,ABCC8
1371,SLC4A1AP
1372,TRPC4
1373,GLIPR2
1374,UGDH
1375,DNMT1
1376,CD244
1377,RRP12
1378,ITGA1
1379,GABRA1
1380,FLCN
1381,SPZ1
1382,STAT6
1383,ACE2
1384,LGR4
1385,RBM27
1386,PSMD2
1387,GNS
1388,RLN2
1389,F2RL3
1390,NMB
1391,RBM34
1392,CD58
1393,ZNF232
1394,HS3ST5
1395,THRA
1396,CD209
1397,HOXA13
1398,CDC42BPG
1399,SV2C
1400,ANGPTL4
1401,RTCB
1402,COL4A4
1403,TMEM119
1404,PI16
1405,GABRA6
1406,SPICE1
1407,PMP22
1408,PCNX3
1409,HOXD10
1410,LONRF3
1411,AXIN1
1412,ADGRL1
1413,GABRA4
1414,ELK1
